Model,Accuracy,Precision,Recall,F1-Score,ROC-AUC
Logistic Regression,0.9649122807017544,0.975,0.9285714285714286,0.9512195121951219,0.996031746031746
Random Forest,0.9736842105263158,1.0,0.9285714285714286,0.9629629629629629,0.9947089947089948
Gradient Boosting,0.9649122807017544,1.0,0.9047619047619048,0.95,0.9930555555555556
Neural Network,0.8596491228070176,0.9642857142857143,0.6428571428571429,0.7714285714285715,0.9781746031746031
